acid_id,acid_name,formula,concentration_pct,temperature_c,density_kg_l
nitric,硝酸,HNO3,12,30,1.0618
nitric,硝酸,HNO3,12,40,1.0567
nitric,硝酸,HNO3,12,50,1.0513
nitric,硝酸,HNO3,12,60,1.0455
nitric,硝酸,HNO3,12,80,1.0326
nitric,硝酸,HNO3,12,100,1.0186
nitric,硝酸,HNO3,13,0,1.0797
nitric,硝酸,HNO3,13,5,1.0781
nitric,硝酸,HNO3,13,10,1.0762
nitric,硝酸,HNO3,13,15,1.0742
nitric,硝酸,HNO3,13,20,1.0721
nitric,硝酸,HNO3,13,25,1.0699
nitric,硝酸,HNO3,13,30,1.0676
nitric,硝酸,HNO3,13,40,1.0624
nitric,硝酸,HNO3,13,50,1.0568
nitric,硝酸,HNO3,13,60,1.0509
nitric,硝酸,HNO3,13,80,1.0379
nitric,硝酸,HNO3,13,100,1.0238
nitric,硝酸,HNO3,14,0,1.0862
nitric,硝酸,HNO3,14,5,1.0845
nitric,硝酸,HNO3,14,10,1.0824
nitric,硝酸,HNO3,14,15,1.0803
nitric,硝酸,HNO3,14,20,1.0781
nitric,硝酸,HNO3,14,25,1.0758
nitric,硝酸,HNO3,14,30,1.0735
nitric,硝酸,HNO3,14,40,1.0681
nitric,硝酸,HNO3,14,50,1.0624
nitric,硝酸,HNO3,14,60,1.0564
nitric,硝酸,HNO3,14,80,1.0432
nitric,硝酸,HNO3,14,100,1.0289
nitric,硝酸,HNO3,15,0,1.0927
nitric,硝酸,HNO3,15,5,1.0909
nitric,硝酸,HNO3,15,10,1.0887
nitric,硝酸,HNO3,15,15,1.0865
nitric,硝酸,HNO3,15,20,1.0842
nitric,硝酸,HNO3,15,25,1.0818
nitric,硝酸,HNO3,15,30,1.0794
nitric,硝酸,HNO3,15,40,1.0739
nitric,硝酸,HNO3,15,50,1.068
nitric,硝酸,HNO3,15,60,1.0619
nitric,硝酸,HNO3,15,80,1.0485
nitric,硝酸,HNO3,15,100,1.0341
nitric,硝酸,HNO3,16,0,1.0992
nitric,硝酸,HNO3,16,5,1.0973
nitric,硝酸,HNO3,16,10,1.095
nitric,硝酸,HNO3,16,15,1.0927
nitric,硝酸,HNO3,16,20,1.0903
nitric,硝酸,HNO3,16,25,1.0879
nitric,硝酸,HNO3,16,30,1.0854
nitric,硝酸,HNO3,16,40,1.0797
nitric,硝酸,HNO3,16,50,1.0737
nitric,硝酸,HNO3,16,60,1.0675
nitric,硝酸,HNO3,16,80,1.0538
nitric,硝酸,HNO3,16,100,1.0393
nitric,硝酸,HNO3,17,0,1.1057
nitric,硝酸,HNO3,17,5,1.1038
nitric,硝酸,HNO3,17,10,1.1014
nitric,硝酸,HNO3,17,15,1.0989
nitric,硝酸,HNO3,17,20,1.0964
nitric,硝酸,HNO3,17,25,1.094
nitric,硝酸,HNO3,17,30,1.0914
nitric,硝酸,HNO3,17,40,1.0855
nitric,硝酸,HNO3,17,50,1.0794
nitric,硝酸,HNO3,17,60,1.0731
nitric,硝酸,HNO3,17,80,1.0592
nitric,硝酸,HNO3,17,100,1.0444
nitric,硝酸,HNO3,18,0,1.1123
nitric,硝酸,HNO3,18,5,1.1103
nitric,硝酸,HNO3,18,10,1.1078
nitric,硝酸,HNO3,18,15,1.1052
nitric,硝酸,HNO3,18,20,1.1026
nitric,硝酸,HNO3,18,25,1.1001
nitric,硝酸,HNO3,18,30,1.0974
nitric,硝酸,HNO3,18,40,1.0913
nitric,硝酸,HNO3,18,50,1.0851
nitric,硝酸,HNO3,18,60,1.0787
nitric,硝酸,HNO3,18,80,1.0646
nitric,硝酸,HNO3,18,100,1.0496
nitric,硝酸,HNO3,19,0,1.1189
nitric,硝酸,HNO3,19,5,1.1168
nitric,硝酸,HNO3,19,10,1.1142
nitric,硝酸,HNO3,19,15,1.1115
nitric,硝酸,HNO3,19,20,1.1088
nitric,硝酸,HNO3,19,25,1.1062
nitric,硝酸,HNO3,19,30,1.1034
nitric,硝酸,HNO3,19,40,1.0972
nitric,硝酸,HNO3,19,50,1.0908
nitric,硝酸,HNO3,19,60,1.0843
nitric,硝酸,HNO3,19,80,1.07
nitric,硝酸,HNO3,19,100,1.0547
nitric,硝酸,HNO3,20,0,1.1255
nitric,硝酸,HNO3,20,5,1.1234
nitric,硝酸,HNO3,20,10,1.1206
nitric,硝酸,HNO3,20,15,1.1178
nitric,硝酸,HNO3,20,20,1.115
nitric,硝酸,HNO3,20,25,1.1123
nitric,硝酸,HNO3,20,30,1.1094
nitric,硝酸,HNO3,20,40,1.1031
nitric,硝酸,HNO3,20,50,1.0966
nitric,硝酸,HNO3,20,60,1.0899
nitric,硝酸,HNO3,20,80,1.0754
nitric,硝酸,HNO3,20,100,1.0598
nitric,硝酸,HNO3,21,0,1.1322
nitric,硝酸,HNO3,21,5,1.13
nitric,硝酸,HNO3,21,10,1.1271
nitric,硝酸,HNO3,21,15,1.1242
nitric,硝酸,HNO3,21,20,1.1213
nitric,硝酸,HNO3,21,25,1.1185
nitric,硝酸,HNO3,21,30,1.1155
nitric,硝酸,HNO3,21,40,1.109
nitric,硝酸,HNO3,21,50,1.1024
nitric,硝酸,HNO3,21,60,1.0956
nitric,硝酸,HNO3,21,80,1.0808
nitric,硝酸,HNO3,21,100,1.065
nitric,硝酸,HNO3,22,0,1.1389
nitric,硝酸,HNO3,22,5,1.1366
nitric,硝酸,HNO3,22,10,1.1336
nitric,硝酸,HNO3,22,15,1.1306
nitric,硝酸,HNO3,22,20,1.1276
nitric,硝酸,HNO3,22,25,1.1247
nitric,硝酸,HNO3,22,30,1.1217
nitric,硝酸,HNO3,22,40,1.115
nitric,硝酸,HNO3,22,50,1.1083
nitric,硝酸,HNO3,22,60,1.1013
nitric,硝酸,HNO3,22,80,1.0862
nitric,硝酸,HNO3,22,100,1.0701
nitric,硝酸,HNO3,23,0,1.1457
nitric,硝酸,HNO3,23,5,1.1433
nitric,硝酸,HNO3,23,10,1.1402
nitric,硝酸,HNO3,23,15,1.1371
nitric,硝酸,HNO3,23,20,1.134
nitric,硝酸,HNO3,23,25,1.131
nitric,硝酸,HNO3,23,30,1.128
nitric,硝酸,HNO3,23,40,1.121
nitric,硝酸,HNO3,23,50,1.1142
nitric,硝酸,HNO3,23,60,1.107
nitric,硝酸,HNO3,23,80,1.0917
nitric,硝酸,HNO3,23,100,1.0753
nitric,硝酸,HNO3,24,0,1.1525
nitric,硝酸,HNO3,24,5,1.1501
nitric,硝酸,HNO3,24,10,1.1469
nitric,硝酸,HNO3,24,15,1.1437
nitric,硝酸,HNO3,24,20,1.1404
nitric,硝酸,HNO3,24,25,1.1374
nitric,硝酸,HNO3,24,30,1.1343
nitric,硝酸,HNO3,24,40,1.1271
nitric,硝酸,HNO3,24,50,1.1201
nitric,硝酸,HNO3,24,60,1.1127
nitric,硝酸,HNO3,24,80,1.0972
nitric,硝酸,HNO3,24,100,1.0805
nitric,硝酸,HNO3,25,0,1.1594
nitric,硝酸,HNO3,25,5,1.1569
nitric,硝酸,HNO3,25,10,1.1536
nitric,硝酸,HNO3,25,15,1.1503
nitric,硝酸,HNO3,25,20,1.1469
nitric,硝酸,HNO3,25,25,1.1438
nitric,硝酸,HNO3,25,30,1.1406
nitric,硝酸,HNO3,25,40,1.1332
nitric,硝酸,HNO3,25,50,1.126
nitric,硝酸,HNO3,25,60,1.1185
nitric,硝酸,HNO3,25,80,1.1027
nitric,硝酸,HNO3,25,100,1.0857
nitric,硝酸,HNO3,26,0,1.1663
nitric,硝酸,HNO3,26,5,1.1638
nitric,硝酸,HNO3,26,10,1.1603
nitric,硝酸,HNO3,26,15,1.1569
nitric,硝酸,HNO3,26,20,1.1534
nitric,硝酸,HNO3,26,25,1.1502
nitric,硝酸,HNO3,26,30,1.1469
nitric,硝酸,HNO3,26,40,1.1394
nitric,硝酸,HNO3,26,50,1.132
nitric,硝酸,HNO3,26,60,1.1244
nitric,硝酸,HNO3,26,80,1.1083
nitric,硝酸,HNO3,26,100,1.091
nitric,硝酸,HNO3,27,0,1.1733
nitric,硝酸,HNO3,27,5,1.1707
nitric,硝酸,HNO3,27,10,1.167
nitric,硝酸,HNO3,27,15,1.1635
nitric,硝酸,HNO3,27,20,1.16
nitric,硝酸,HNO3,27,25,1.1566
nitric,硝酸,HNO3,27,30,1.1533
nitric,硝酸,HNO3,27,40,1.1456
nitric,硝酸,HNO3,27,50,1.1381
nitric,硝酸,HNO3,27,60,1.1303
nitric,硝酸,HNO3,27,80,1.1139
nitric,硝酸,HNO3,27,100,1.0963
nitric,硝酸,HNO3,28,0,1.1803
nitric,硝酸,HNO3,28,5,1.1777
nitric,硝酸,HNO3,28,10,1.1738
nitric,硝酸,HNO3,28,15,1.1702
nitric,硝酸,HNO3,28,20,1.1666
nitric,硝酸,HNO3,28,25,1.1631
nitric,硝酸,HNO3,28,30,1.1597
nitric,硝酸,HNO3,28,40,1.1519
nitric,硝酸,HNO3,28,50,1.1442
nitric,硝酸,HNO3,28,60,1.1362
nitric,硝酸,HNO3,28,80,1.1195
nitric,硝酸,HNO3,28,100,1.1016
nitric,硝酸,HNO3,29,0,1.1874
nitric,硝酸,HNO3,29,5,1.1847
nitric,硝酸,HNO3,29,10,1.1807
nitric,硝酸,HNO3,29,15,1.177
nitric,硝酸,HNO3,29,20,1.1733
nitric,硝酸,HNO3,29,25,1.1697
nitric,硝酸,HNO3,29,30,1.1662
nitric,硝酸,HNO3,29,40,1.1582
nitric,硝酸,HNO3,29,50,1.1503
nitric,硝酸,HNO3,29,60,1.1422
nitric,硝酸,HNO3,29,80,1.1251
nitric,硝酸,HNO3,29,100,1.1069
nitric,硝酸,HNO3,30,0,1.1945
nitric,硝酸,HNO3,30,5,1.1917
nitric,硝酸,HNO3,30,10,1.1876
nitric,硝酸,HNO3,30,15,1.1838
nitric,硝酸,HNO3,30,20,1.18
nitric,硝酸,HNO3,30,25,1.1763
nitric,硝酸,HNO3,30,30,1.1727
nitric,硝酸,HNO3,30,40,1.1645
nitric,硝酸,HNO3,30,50,1.1564
nitric,硝酸,HNO3,30,60,1.1482
nitric,硝酸,HNO3,30,80,1.1307
nitric,硝酸,HNO3,30,100,1.1122
nitric,硝酸,HNO3,31,0,1.2016
nitric,硝酸,HNO3,31,5,1.1988
nitric,硝酸,HNO3,31,10,1.1945
nitric,硝酸,HNO3,31,15,1.1906
nitric,硝酸,HNO3,31,20,1.1867
nitric,硝酸,HNO3,31,25,1.1829
nitric,硝酸,HNO3,31,30,1.1792
nitric,硝酸,HNO3,31,40,1.1708
nitric,硝酸,HNO3,31,50,1.1625
nitric,硝酸,HNO3,31,60,1.1542
nitric,硝酸,HNO3,31,80,1.1363
nitric,硝酸,HNO3,31,100,1.1175
nitric,硝酸,HNO3,32,0,1.2088
nitric,硝酸,HNO3,32,5,1.2059
nitric,硝酸,HNO3,32,10,1.2014
nitric,硝酸,HNO3,32,15,1.1974
nitric,硝酸,HNO3,32,20,1.1934
nitric,硝酸,HNO3,32,25,1.1896
nitric,硝酸,HNO3,32,30,1.1857
nitric,硝酸,HNO3,32,40,1.1772
nitric,硝酸,HNO3,32,50,1.1687
nitric,硝酸,HNO3,32,60,1.1602
nitric,硝酸,HNO3,32,80,1.1419
nitric,硝酸,HNO3,32,100,1.1228
nitric,硝酸,HNO3,33,0,1.216
nitric,硝酸,HNO3,33,5,1.2131
nitric,硝酸,HNO3,33,10,1.2084
nitric,硝酸,HNO3,33,15,1.2043
nitric,硝酸,HNO3,33,20,1.2002
nitric,硝酸,HNO3,33,25,1.1963
nitric,硝酸,HNO3,33,30,1.1922
nitric,硝酸,HNO3,33,40,1.1836
nitric,硝酸,HNO3,33,50,1.1749
nitric,硝酸,HNO3,33,60,1.1662
nitric,硝酸,HNO3,33,80,1.1476
nitric,硝酸,HNO3,33,100,1.1281
nitric,硝酸,HNO3,34,0,1.2233
nitric,硝酸,HNO3,34,5,1.2203
nitric,硝酸,HNO3,34,10,1.2155
nitric,硝酸,HNO3,34,15,1.2113
nitric,硝酸,HNO3,34,20,1.2071
nitric,硝酸,HNO3,34,25,1.203
nitric,硝酸,HNO3,34,30,1.1988
nitric,硝酸,HNO3,34,40,1.1901
nitric,硝酸,HNO3,34,50,1.1812
nitric,硝酸,HNO3,34,60,1.1723
nitric,硝酸,HNO3,34,80,1.1533
nitric,硝酸,HNO3,34,100,1.1335
nitric,硝酸,HNO3,35,0,1.2306
nitric,硝酸,HNO3,35,5,1.2275
nitric,硝酸,HNO3,35,10,1.2227
nitric,硝酸,HNO3,35,15,1.2183
nitric,硝酸,HNO3,35,20,1.214
nitric,硝酸,HNO3,35,25,1.2098
nitric,硝酸,HNO3,35,30,1.2055
nitric,硝酸,HNO3,35,40,1.1966
nitric,硝酸,HNO3,35,50,1.1876
nitric,硝酸,HNO3,35,60,1.1784
nitric,硝酸,HNO3,35,80,1.1591
nitric,硝酸,HNO3,35,100,1.139
nitric,硝酸,HNO3,36,0,1.2375
nitric,硝酸,HNO3,36,5,1.2344
nitric,硝酸,HNO3,36,10,1.2294
nitric,硝酸,HNO3,36,15,1.2249
nitric,硝酸,HNO3,36,20,1.2205
nitric,硝酸,HNO3,36,25,1.2163
nitric,硝酸,HNO3,36,30,1.2119
nitric,硝酸,HNO3,36,40,1.2028
nitric,硝酸,HNO3,36,50,1.1936
nitric,硝酸,HNO3,36,60,1.1842
nitric,硝酸,HNO3,36,80,1.1645
nitric,硝酸,HNO3,36,100,1.144
nitric,硝酸,HNO3,37,0,1.2444
nitric,硝酸,HNO3,37,5,1.2412
nitric,硝酸,HNO3,37,10,1.2361
nitric,硝酸,HNO3,37,15,1.2315
nitric,硝酸,HNO3,37,20,1.227
nitric,硝酸,HNO3,37,25,1.2227
nitric,硝酸,HNO3,37,30,1.2182
nitric,硝酸,HNO3,37,40,1.2089
nitric,硝酸,HNO3,37,50,1.1995
nitric,硝酸,HNO3,37,60,1.1899
nitric,硝酸,HNO3,37,80,1.1699
nitric,硝酸,HNO3,37,100,1.149
nitric,硝酸,HNO3,38,0,1.2513
nitric,硝酸,HNO3,38,5,1.2479
nitric,硝酸,HNO3,38,10,1.2428
nitric,硝酸,HNO3,38,15,1.2381
nitric,硝酸,HNO3,38,20,1.2335
nitric,硝酸,HNO3,38,25,1.2291
nitric,硝酸,HNO3,38,30,1.2245
nitric,硝酸,HNO3,38,40,1.215
