化学式,结晶水,0℃,10℃,20℃,25℃,30℃,40℃,50℃,60℃,70℃,80℃,90℃,100℃
$\text{LiNO}_3$,,53.4,60.3,74.5,102.0,138.0,151.0,165,178.0,192,205,217,230
$\text{LiOH}$,无水,12.1,12.1,12.4,12.5,12.7,13.3,13.9,14.5,15.5,16.6,17.8,19.2
$\text{LiOH}$,一水,23.3,23.3,24.0,24.2,24.6,25.9,27.2,28.5,30.7,33.2,36.0,39.3
$\text{MgSO}_4$,无水,22.2,27.7,33.5,35.7,39.3,44.7,50.2,55.3,58.5,56.0,53.1,49.9
$\text{MgSO}_4$,七水,59.2,79.9,106.0,117.0,137.0,172,217,269,309,277,245,214
$\text{MnCl}_2$,无水,63.1,68.4,73.9,77.3,80.8,88.7,97.6,118.0,121,123,126,128
$\text{MnCl}_2$,四水,155.0,177.0,201.0,218.0,236.0,283,348,(熔融),-,-,-,-
$\text{MnSO}_4$,无水,52.9,59.5,62.9,63.7,63.7,60.5,57.0,52.9,48.8,44.5,40.4,36.4
$\text{MnSO}_4$,一水,63.2,71.7,76.1,77.2,77.2,73.0,68.5,63.2,58.0,52.6,47.5,42.6
$\text{(NH}_4)_2\text{C}_2\text{O}_4$,无水,2.36,3.21,4.44,5.2,6.08,8.18,10.8,13.9,17.8,22.4,27.9,34.6
$\text{(NH}_4)_2\text{C}_2\text{O}_4$,一水,2.71,3.69,5.12,6.0,7.02,9.48,12.6,16.2,20.9,26.5,33.3,41.7
$\text{(NH}_4)_2\text{Cr}_2\text{O}_7$,,18.2,25.5,35.6,-,46.5,58.5,71.4,86.0,-,115,-,156
$\text{(NH}_4)_2\text{Fe(SO}_4)_2\cdot 6\text{H}_2\text{O}$,,-,18.1,21.2,-,24.5,27.9,31.3,-,38.5,-,-,-
$\text{(NH}_4)_2\text{Ni(SO}_4)_2\cdot 6\text{H}_2\text{O}$,,-,-,10.4,-,-,-,-,-,-,30.0,-,-
$\text{(NH}_4)_2\text{S}_2\text{O}_8$,,58.7,67.93,78.06,83.45,89.07,101.0,114.0,128.5,144.7,163,-,-
$\text{(NH}_4)_2\text{SO}_4$,,70.4,72.7,75.1,76.4,77.9,80.8,83.8,87.3,90.5,94.2,98.0,102
$\text{NH}_4\text{Cl}$,,29.74,33.55,37.49,39.55,41.62,45.9,50.4,55.01,59.90,65.0,70.44,76.18
$\text{NH}_4\text{ClO}_4$,,12.1,16.4,21.7,24.5,27.7,34.8,42.5,50.6,59.5,68.6,77.9,87.3
$\text{NH}_4\text{HCO}_3$,,11.9,15.9,21.4,24.8,28.9,38.7,(分解),59.2,,109,,
$\text{NH}_4\text{NO}_3$,,117.0,151.0,190.0,212.0,237.0,289.0,348,421.0,502,604,747,931
$\text{Na}_2\text{B}_4\text{O}_7\cdot 10\text{H}_2\text{O}$,,2.03,3.19,4.94,6.16,7.76,12.6,21.8,43.5,58.6,79.6,113.6,191.0
$\text{Na}_2\text{C}_2\text{O}_4$,,2.69,3.04,3.41,3.61,3.79,4.17,4.56,4.94,5.33,5.72,6.10,6.47
$\text{Na}_2\text{CO}_3$,无水,6.88,12.1,21.8,30.7,40.3,48.8,47.5,46.4,45.6,45.1,44.7,44.7
$\text{Na}_2\text{CO}_3$,十水,21.0,41.1,93.5,173.0,345.0,(熔融),-,-,-,-,-,-
$\text{Na}_2\text{Cr}_2\text{O}_7$,无水,164.0,171.0,181.0,187.0,195.0,212.0,234,261.0,294,335,390,418
$\text{Na}_2\text{Cr}_2\text{O}_7$,二水,240.9,254.3,274.1,286.4,303.1,340.4,393,463.2,561,707,(熔融),-
$\text{Na}_2\text{CrO}_4$,无水,29.2,47.7,80.5,87.6,88.3,95.7,104,115.0,124,125,126,128
